# ZTool localization table: <escaped zh>\t<escaped ru>
# Rows with an empty RU column are left untouched. Edit RU values only.
\t统计数量	\tКоличество
\r\n\t\\\t\t将下一个字符标记为一个特殊字符、或一个原义字符、或一个向后引用、或一个八进制转义符。例如，“n”匹配字符“n”。“\\n”匹配一个换行符。串行“\\\\”匹配“\\”而“\\(”则匹配“(”。\r\n\t^\t\t匹配输入字符串的开始位置。如果设置了RegExp对象的Multiline属性，^也匹配“\\n”或“\\r”之后的位置。\r\n\t$\t\t匹配输入字符串的结束位置。如果设置了RegExp对象的Multiline属性，$也匹配“\\n”或“\\r”之前的位置。\r\n\t*\t\t匹配前面的子表达式零次或多次。例如，zo*能匹配“z”以及“zoo”。*等价于{0,}。\r\n\t+\t\t匹配前面的子表达式一次或多次。例如，“zo+”能匹配“zo”以及“zoo”，但不能匹配“z”。+等价于{1,}。\r\n\t?\t\t匹配前面的子表达式零次或一次。例如，“do(es)?”可以匹配“does”或“does”中的“do”。?等价于{0,1}。\r\n\t{n}\t\tn是一个非负整数。匹配确定的n次。例如，“o{2}”不能匹配“Bob”中的“o”，但是能匹配“food”中的两个o。\r\n\t{n,}\t\tn是一个非负整数。至少匹配n次。例如，“o{2,}”不能匹配“Bob”中的“o”，但能匹配“foooood”中的所有o。“o{1,}”等价于“o+”。“o{0,}”则等价于“o*”。\r\n\t{n,m}\t\tm和n均为非负整数，其中n<=m。最少匹配n次且最多匹配m次。例如，“o{1,3}”将匹配“fooooood”中的前三个o。“o{0,1}”等价于“o?”。请注意在逗号和两个数之间不能有空格。\r\n\t?\t\t当该字符紧跟在任何一个其他限制符（*,+,?，{n}，{n,}，{n,m}）后面时，匹配模式是非贪婪的。非贪婪模式尽可能少的匹配所搜索的字符串，而默认的贪婪模式则尽可能多的匹配所搜索的字符串。\r\n\t\t\t例如，对于字符串“oooo”，“o+?”将匹配单个“o”，而“o+”将匹配所有“o”。\r\n\t.\t\t匹配除“\\n”之外的任何单个字符。要匹配包括“\\n”在内的任何字符，请使用像“(.|\\n)”的模式。\r\n\t(pattern)\t\t匹配pattern并获取这一匹配。所获取的匹配可以从产生的Matches集合得到，在VBScript中使用SubMatches集合，在JScript中则使用$0…$9属性。要匹配圆括号字符，请使用“\\(”或“\\)”。\r\n\t(?:pattern)\t匹配pattern但不获取匹配结果，也就是说这是一个非获取匹配，不进行存储供以后使用。这在使用或字符“(|)”来组合一个模式的各个部分是很有用。例如“industr(?:y|ies)”就是一个比“industry|industries”\r\n\t\t\t更简略的表达式。\r\n\t(?=pattern)\t正向肯定预查，在任何匹配pattern的字符串开始处匹配查找字符串。这是一个非获取匹配，也就是说，该匹配不需要获取供以后使用。例如，“Windows(?=95|98|NT|2000)”能匹配“Windows2000”\r\n\t\t\t中的“Windows”，但不能匹配“Windows3.1”中的“Windows”。预查不消耗字符，也就是说，在一个匹配发生后，在最后一次匹配之后立即开始下一次匹配的搜索，而不是从包含预查的字符之后开始。\r\n\t(?!pattern)\t正向否定预查，在任何不匹配pattern的字符串开始处匹配查找字符串。这是一个非获取匹配，也就是说，该匹配不需要获取供以后使用。例如“Windows(?!95|98|NT|2000)”能匹配“Windows3.1”中的\r\n\t\t\t“Windows”，但不能匹配“Windows2000”中的“Windows”。预查不消耗字符，也就是说，在一个匹配发生后，在最后一次匹配之后立即开始下一次匹配的搜索，而不是从包含预查的字符之后开始。\r\n\t(?<=pattern)\t反向肯定预查，与正向肯定预查类拟，只是方向相反。例如，“(?<=95|98|NT|2000)Windows”能匹配“2000Windows”中的“Windows”，但不能匹配“3.1Windows”中的“Windows”。\r\n\t(?<!pattern)\t反向否定预查，与正向否定预查类拟，只是方向相反。例如“(?<!95|98|NT|2000)Windows”能匹配“3.1Windows”中的“Windows”，但不能匹配“2000Windows”中的“Windows”。\r\n\tx|y\t\t匹配x或y。例如，“z|food”能匹配“z”或“food”。“(z|f)ood”则匹配“zood”或“food”。\r\n\t[xyz]\t\t字符集合。匹配所包含的任意一个字符。例如，“[abc]”可以匹配“plain”中的“a”。\r\n\t[^xyz]\t\t负值字符集合。匹配未包含的任意字符。例如，“[^abc]”可以匹配“plain”中的“p”。\r\n\t[a-z]\t\t字符范围。匹配指定范围内的任意字符。例如，“[a-z]”可以匹配“a”到“z”范围内的任意小写字母字符。\r\n\t[^a-z]\t\t负值字符范围。匹配任何不在指定范围内的任意字符。例如，“[^a-z]”可以匹配任何不在“a”到“z”范围内的任意字符。\r\n\t\\b\t\t匹配一个单词边界，也就是指单词和空格间的位置。例如，“er\\b”可以匹配“never”中的“er”，但不能匹配“verb”中的“er”。\r\n\t\\B\t\t匹配非单词边界。“er\\B”能匹配“verb”中的“er”，但不能匹配“never”中的“er”。\r\n\t\\cx\t\t匹配由x指明的控制字符。例如，\\cM匹配一个Control-M或回车符。x的值必须为A-Z或a-z之一。否则，将c视为一个原义的“c”字符。\r\n\t\\d\t\t匹配一个数字字符。等价于[0-9]。\r\n\t\\D\t\t匹配一个非数字字符。等价于[^0-9]。\r\n\t\\f\t\t匹配一个换页符。等价于\\x0c和\\cL。\r\n\t\\n\t\t匹配一个换行符。等价于\\x0a和\\cJ。\r\n\t\\r\t\t匹配一个回车符。等价于\\x0d和\\cM。\r\n\t\\s\t\t匹配任何空白字符，包括空格、制表符、换页符等等。等价于[ \\f\\n\\r\\t\\v]。\r\n\t\\S\t\t匹配任何非空白字符。等价于[^ \\f\\n\\r\\t\\v]。\r\n\t\\t\t\t匹配一个制表符。等价于\\x09和\\cI。\r\n\t\\v\t\t匹配一个垂直制表符。等价于\\x0b和\\cK。\r\n\t\\w\t\t匹配包括下划线的任何单词字符。等价于“[A-Za-z0-9_]”。\r\n\t\\W\t\t匹配任何非单词字符。等价于“[^A-Za-z0-9_]”。\r\n\t\\xn\t\t匹配n，其中n为十六进制转义值。十六进制转义值必须为确定的两个数字长。例如，“\\x41”匹配“A”。“\\x041”则等价于“\\x04&1”。正则表达式中可以使用ASCII编码。.\r\n\t\\num\t\t匹配num，其中num是一个正整数。对所获取的匹配的引用。例如，“(.)\\1”匹配两个连续的相同字符。\r\n\t\\n\t\t标识一个八进制转义值或一个向后引用。如果\\n之前至少n个获取的子表达式，则n为向后引用。否则，如果n为八进制数字（0-7），则n为一个八进制转义值。\r\n\t\\nm\t\t标识一个八进制转义值或一个向后引用。如果\\nm之前至少有nm个获得子表达式，则nm为向后引用。如果\\nm之前至少有n个获取，则n为一个后跟文字m的向后引用。如果前面的条件都不满足，\r\n\t\t\t若n和m均为八进制数字（0-7），则\\nm将匹配八进制转义值nm。\r\n\t\\nml\t\t如果n为八进制数字（0-3），且m和l均为八进制数字（0-7），则匹配八进制转义值nml。\r\n\t\\un\t\t匹配n，其中n是一个用四个十六进制数字表示的Unicode字符。例如，\\u00A9匹配版权符号（©）。	\r\n\t\\\t\tЭкранирует следующий символ, помечая его как специальный, как обычный, как обратную ссылку или как восьмеричный спецсимвол. Например, «n» соответствует символу «n», «\\n» — переводу строки. «\\\\» соответствует «\\», а «\\(» — «(».\r\n\t^\t\tСоответствует началу строки ввода. Если задано свойство Multiline объекта RegExp, «^» также соответствует позиции после «\\n» или «\\r».\r\n\t$\t\tСоответствует концу строки ввода. Если задано свойство Multiline объекта RegExp, «$» также соответствует позиции перед «\\n» или «\\r».\r\n\t*\t\tСоответствует предыдущему выражению ноль или более раз. Например, «zo*» соответствует «z» и «zoo». «*» эквивалентно {0,}.\r\n\t+\t\tСоответствует предыдущему выражению один или более раз. Например, «zo+» соответствует «zo» и «zoo», но не «z». «+» эквивалентно {1,}.\r\n\t?\t\tСоответствует предыдущему выражению ноль или один раз. Например, «do(es)?» соответствует «do» в «does». «?» эквивалентно {0,1}.\r\n\t{n}\t\tn — неотрицательное целое. Совпадает ровно n раз. Например, «o{2}» не совпадает с «o» в «Bob», но совпадает с двумя «o» в «food».\r\n\t{n,}\t\tn — неотрицательное целое. Совпадает не менее n раз. Например, «o{2,}» не совпадает с «o» в «Bob», но совпадает со всеми «o» в «foooood». «o{1,}» эквивалентно «o+», «o{0,}» — «o*».\r\n\t{n,m}\t\tm и n — неотрицательные целые, n<=m. Совпадает не менее n и не более m раз. Например, «o{1,3}» совпадает с первыми тремя «o» в «fooooood». Пробелы между запятой и числами недопустимы.\r\n\t?\t\tЕсли стоит сразу за любым другим квантификатором (*,+,?,{n},{n,},{n,m}), делает поиск «ленивым» (минимальным) вместо «жадного» (максимального).\r\n\t\t\tНапример, для строки «oooo» «o+?» совпадёт с одним «o», а «o+» — со всеми «o».\r\n\t.\t\tСоответствует любому символу, кроме «\\n». Чтобы включить «\\n», используйте шаблон вида «(.|\\n)».\r\n\t(pattern)\t\tСоответствует pattern и запоминает совпадение. Запомненные совпадения доступны в коллекции Matches.\r\n\t(?:pattern)\t\tСоответствует pattern, но не запоминает совпадение.\r\n\t(?=pattern)\t\tПозитивный просмотр вперёд: совпадает, если далее следует pattern (сам pattern не входит в совпадение).\r\n\t(?!pattern)\t\tНегативный просмотр вперёд: совпадает, если далее НЕ следует pattern.\r\n\tx|y\t\tСоответствует x или y.\r\n\t[xyz]\t\tНабор символов: соответствует любому из перечисленных символов.\r\n\t[^xyz]\t\tИсключающий набор: соответствует любому символу, не входящему в набор.\r\n\t[a-z]\t\tДиапазон символов: любой символ из указанного диапазона.\r\n\t\\b\t\tГраница слова.\r\n\t\\B\t\tНе граница слова.\r\n\t\\d\t\tЦифра (0-9).\r\n\t\\D\t\tНе цифра.\r\n\t\\s\t\tПробельный символ.\r\n\t\\S\t\tНе пробельный символ.\r\n\t\\w\t\tБуква, цифра или подчёркивание.\r\n\t\\W\t\tЛюбой символ, не являющийся буквой, цифрой или подчёркиванием.\r\n
 (属性值)	 (значение свойства)
 (属性表达式)	 (выражение свойства)
 与 	 и 
 条记录中找到 	 записях найдено 
 秒， 共 	 сек, всего 
 秒，共 	 сек, всего 
 项，填写 	 элементов, заполнено 
$图号$ $名称$ $类型$	$Номер$ $Название$ $Тип$
$图号$-$零件名称$-{001}	$Номер$-$ИмяДетали$-{001}
